english,german
Registration is open until a few hours prior to the beginning of the competition.,Anmelden kann man sich bis eine Stunde vor Wettkampfbeginn.
"With the Scottish-Swabian Highland Games and the tractor pulling contest, which will begin half an hour beforehand, there promises to be a great deal of action at the event grounds on Saturday.","Mit den schottisch-schwäbischen Highlander-Games und dem Traktor-Pulling, das eine halbe Stunde früher beginnt, ist auf dem Festgelände am Samstag schon mal viel Action angesagt."
"In the evening, fans of brass band music will be in for a treat of their own.",Abends kommen die Blasmusikfreunde auf ihre Kosten.
"At 19:00, the ""biraböhmische"" (a play on words alluding to the regions pear trees, Bohemia, and perhaps their love of beer as well!) wind music group from Schömberg, provide a great evening of entertainment.",Um 19 Uhr gestaltet die biraböhmische Blasmusik aus Schömberg den großen Unterhaltungsabend.
The band plays lively polkas and marches.,Die Kapelle spielt flotte Polkas und Märsche.
"However, their repertoire also includes emotive waltzes and a full big band sound.",Zu ihrem Repertoire gehören aber auch gefühlvolle Walzer und ein satter Big-Band-Sound.
"Heinz Koch from Weilen unter den Rinnen will also be there, better known as the 'singing inn keeper and black sausage baron"".",Mit dabei sein wird der als singender Wirt und Schwarzwurstbaron bekannte Heinz Koch aus Weilen unter den Rinnen.
"In the past, he has appeared at the Christmas market in Dornhan and the Narrenzunft (Fool's Guild event).",In Dornhan ist er beim Weihnachtsmarkt und bei der Narrenzunft bereits aufgetreten.
"On Sunday, the Leinstetten Music Society will entertain audiences with a morning session, with the Böffingen Farmer's Band as guests from 2:00 p.m., and then the ""Oldies"" will bring the celebrations to a close.","Am Sonntag unterhält der Musikverein Leinstetten zum Frühschoppen, ab 14 Uhr ist die Bauernkapelle Böffingen zu Gast, und die ""Oldies"" lassen dann das Fest ausklingen."
"The celebrations will get under way on Friday, with the ""Stoppelacker"" (Stubble Field) party featuring DJ Ralf.",Auftakt ist bereits am Freitag die Stoppelackerparty mit DJ Ralf.
Other items in the itinerary on Saturday and Sunday include the vintage car and tractor meet and exhibitions by companies on the topic of agriculture and forestry.,"Weitere Programmpunkte sind am Samstag und Sonntag unter anderem das Oldtimer- und Schleppertreffen, Ausstellungen von Firmen zum Thema Land- und Forstwirtschaft."
"Further attractions on Sunday are the corn maze, the craft market and sheep shearing.","Weitere Attraktionen am Sonntag sind das Maislabyrinth, der Handwerkermarkt und das Schafscheren."
"Specially for children, there is a petting zoo, ""straw bouncy castle"", tractor driving (under supervision) and tractor surfing.","Speziell für Kinder gibt es einen Streichelzoo, Strohhüpfburg, Traktorfahren (unter Anleitung) und Traktor-Surfing."
"The event is organised by the community hall association, the ski club and the ""Zündkapsele"" (blasting caps) tractor enthusiasts.","Veranstalter sind der Förderverein Mehrzweckhalle, der Skiclub und die Traktorfreunde ""Zündkäpsele""."
An overview of milk and egg alternatives,Milch- und Ei-Alternativen im Überblick
"Vegan nutrition promotes vegetable alternatives to eggs, milk and dairy products.","Vegane Ernährung erfordert pflanzliche Alternativen zu Eiern, Milch und Milchprodukten."
"Mashed tofu with plant cream, for example, serves as a substitute for quark cheese.",Pürierter Tofu mit Pflanzensahne ist beispielsweise ein Quarkersatz.
The Vegetarian Association will provide further examples on World Vegan Day on 1 November.,Weitere nennt der Vegetarierbund zum Weltvegantag am 1. November.
"On the occasion of World vegan Day on 1 November, the Vegetarian Association of Germany will propose a host of vegan alternatives:",Der Vegetarierbund Deutschland schlägt anlässlich des Weltvegantags am 1. November eine Reihe von veganen Alternativen vor:
"Pure plant margarine is a good alternative to butter, while yoghurt can be replaced by soya yoghurt.","Reine Pflanzenmargarine sei eine gute Alternative zu Butter, Joghurt lasse durch Sojajoghurt ersetzen."
"Soya, oat, almond or rice milk can be used in place of milk.","Statt Milch könne Soja-, Hafer-, Mandel- oder Reismilch zum Einsatz kommen."
Plant whipping cream can replace traditional whipping cream.,Aufschlagbare Pflanzensahne ersetze herkömmliche Schlagsahne.
There are also plant alternatives to eggs.,Auch zu Eiern gibt es pflanzliche Alternativen.
"Half a mashed, ripe banana, for example, can replace an egg as a binding agent in a cake.","Eine halbe zerdrückte, reife Banane zum Beispiel kann ein Ei als Bindemittel in einem Kuchen ersetzen."
50 grams of apple sauce or a tablespoon of ground linseed plus three tablespoons of water are also suitable.,Auch 50 Gramm Apfelmus oder ein Esslöffel gemahlene Leinsamen plus drei Esslöffel Wasser eignen sich dafür.
"A dough becomes fluffy by replacing egg with a mixture of one tablespoon of baking powder, one tablespoon of cornflour and three tablespoons of mineral water, for example.","Locker werden Teige statt mit Ei zum Beispiel mit einer Mischung aus einem Teelöffel Backpulver, einem Esslöffel Speisestärke und drei Esslöffeln Mineralwasser."
50 grams of soya yoghurt or silken tofu can also fulfil this purpose.,Aber auch 50 Gramm Sojajoghurt oder Seidentofu können diesen Zweck erfüllen.
"According to information from the Vegetarian Association, around 800,000 Germans currently have a vegan diet, i.e. a 100% vegetable diet.","Nach Angaben des Vebu ernähren sich derzeit in Deutschland rund 800 000 Menschen vegan, also rein pflanzlich."
Sleepless in New York,Schlaflos in New York
"On the way to their host families in Weymouth, Massachusetts, the pupils of the Schwarzwald Grammar School got to know the American city of New York.","Auf dem Weg zu ihren Gastfamilien in Weymouth, Massachusetts, lernten die Schüler des Schwarzwald-Gymnasiums die amerikanische Großstadt New York kennen."
"After an eight-hour flight, they headed straight for Brooklyn Bridge, via which the heart of the city, Manhattan, can be reached on foot.","Nach acht Stunden Flug ging es gleich los zur Brooklyn Bridge, über die zu Fuß das Herz der Stadt, Manhattan, erreicht wurde."
"From here there is a fascinating view of the world-famous skyline, which is particularly impressive in the evening light.","Hier bot sich bereits ein faszinierender Blick auf die weltbekannte Skyline, welche im Abendlicht einen besonderen Reiz ausmacht."
"Due to the time difference, the pupils had been on the go for almost 24 hours, however, true to the slogan, ""the city never sleeps"", the day was rounded off with a trip to Times Square.","Durch die Zeitverschiebung waren die Schüler fast 24 Stunden auf den Beinen, aber getreu dem Motto ""Die Stadt schläft nicht"" wurde der Tag am Times Square beschlossen."
"In spite of a shutdown, they were able to visit the Statue of Liberty on the second day, and climb the statue on foot.",Trotz Shutdown konnte am zweiten Tag die Freiheitsstatue mit einer Fähre erreicht und zu Fuß erklommen werden.
"They then moved on to the Financial District, via Wall Street, to visit the 9/11 memorial.",Anschließend ging es über das Finanzzentrum um die Wall Street zur Gedenkstätte des 11. Septembers.
"On the third day, the pupils were able to take in an overview of the fascinating city from the viewing platform of the Empire State Building, enjoying the views from a height of 373 metres.",Am dritten Tag konnten die Schüler von der 373 Meter hoch gelegenen Aussichtsplattform des Empire-State-Buildings einen Überblick über die faszinierend große Stadt gewinnen und dabei die Aussicht genießen.
"They then made their way through the hustle and bustle of the New York streets, via the Rockerfeller Center, to Central Park, which provided the perfect opportunity to rest a while in the Autumn sun.","Danach ging es durch das hektische Treiben der New Yorker Straßen über das Rockefeller Center zum Central Park, der eine ideale Gelegenheit zum kurzen Verweilen in der Herbstsonne bot."
"Following a short flight from New York to Boston, the pupils have now arrived with their host families and are experiencing the school day at Weymouth High School.",Nach einem kurzen Flug von New York nach Boston sind die Schüler inzwischen in ihren Gastfamilien angekommen und erleben an der Weymouth High School den Schulalltag.
"Once again this year, on Saint Hubert's day, a Hubert mass will be celebrated in the Parish of St. Marien on Hülsbergstrasse.",Auch in diesem Jahr wird am Namenstag des Heiligen Hubertus in der Pfarrkirche St. Marien an der Hülsbergstraße eine Hubertusmesse zelebriert.
"St. Hubert was, according to legend, a truly ruthless hunter, who converted following a vision and was later appointed Bishop of Lüttich.","St. Hubertus war der Sage nach ein recht rücksichtsloser Jäger, der durch eine Vision bekehrt und später zum Bischof von Lüttich ernannt wurde."
"Hunting horn group ""Jagdreiter Westfalen"", under the directorship of Brigitte Kluth, played old, traditional French melodies on parforce horns (natural horns in the key of E flat).","Die Jagdhornbläsergruppe der Jagdreiter Westfalen unter der Leitung von Brigitte Kluth musiziert auf Parforcehörnern (Naturhörner in der Stimmung Es) nach alten, ursprünglich französischen Melodien."
"The wind players wear riding clothes, as they provide musical accompaniment mainly for riders, horses and packs of hounds on drag hunts.","Die Bläser tragen Reitkleidung, weil sie vornehmlich Reiter, Pferde und Hundemeute auf Schleppjagden musikalisch begleiten."
The solemn mass is to take place on Sunday 3 November at 11.30 a.m.,"Die feierliche Messe findet statt am Sonntag, 3. November, um 11.30 Uhr."
The newly designed Opschlag stands out with a new café.,Der neu gestaltete Opschlag glänzt mit einem neuen Cafe.
One that invites you to linger a while and to come again.,"Eins, das zum Verweilen und Wiederkommen einlädt."
One that wants to get its name out there.,"Eins, das den Namen zum Programm machen möchte."
"According to dictionaries, déjà vu is defined as a psychological phenomenon, which expresses itself in the feeling of having already experienced or seen a new situation.","Als Déjà Vu bezeichnet man laut Lexikon ein psychologisches Phänomen, das sich in dem Gefühl äußert, eine neue Situation schon einmal erlebt oder gesehen zu haben."
"In the case of a visit to the café of the same name at the Opschlag in Kleve County, with a view of the Rhein-Waal University, it doesn't always have to remain a pure déjà vu feeling.",Im Falle des Besuchs des gleichnamigen Cafés am Opschlag in der Kreisstadt Kleve in Sichtweite zur Hochschule Rhein-Waal muss es nicht beim reinen Déjà Vu-Gefühl bleiben.
"Ultimately, this is precisely the aim of the café with the wonderful name: to make an actual visit and something that can be repeated on a recurring basis, not just theoretically, but tangibly.","Schließlich hat das Café mit dem schönen Namen genau das zum Ziel: einen tatsächlichen Aufenthalt nicht nur gedanklich, sondern handfest immer wiederkehrend erlebbar zu machen."
Because it is fun and simply beautiful.,Weil's eben Spaß macht und einfach schön ist.
A glance into the internal workings at Opschlag 8 gives the onlooker a positive feeling right from the outset.,Ein Blick ins Innenleben am Opschlag 8 gibt dem Betrachter auf Anhieb ein gutes Gefühl.
"With its ultra-modern yet cosy café ambience, it looks like a place designed to make you feel good.","Das hochmoderne, aber nicht kühle Café-Ambiente sieht wie ein Ort zum Wohlfühlen aus."
"The team here, with business founders, Mirjam van der Stelt and Daniel Büttner at the helm, spoils guests with a wide range of coffees and cocktails.",Hier verwöhnt das Team mit den Gründern Mirjam van der Stelt und Daniel Büttner an der Spitze den Gast mit verschiedensten Kaffee- oder Cocktail-Varianten.
"In addition to this, there are delicious cakes or freshly baked baguettes, filled to order.",Dazu gibt's köstlichen Kuchen oder individuell belegte frische Baguettes.
"The owners, both 33 years old, have already made a name for themselves as restaurateurs prior to opening the chic café on the Opschlag: They previously managed the ""Art Lounge"" in Kranenburg.","Die Inhaber, beide 33 Jahre alt, haben sich bereits vor der Eröffnung des schmucken Cafés am Opschlag als Gastronomen einen Namen gemacht: In Kranenburg führten sie das ""Art Lounge""."
"By moving to Kleve on the Opschlag, the friendly café lovers hope to reach a wider audience.",Vom Umzug nach Kleve an den Opschlag erhoffen sich die sympathischen Café-Liebhaber mehr Publikum.
Not least through university customers.,Nicht zuletzt auch durch die Hochschule.
"""We don't have a specific target group,"" emphasises Daniel Büttner.","""Wobei wir keine bestimmte Zielgruppe haben"", betont Daniel Büttner."
"In actual fact, here the pair hope to appeal as much to young students as they do to senior citizens and all age brackets.",Vielmehr möchte die beiden hier junge Studenten genauso ansprechen wie Senioren und alle Altersklassen dazwischen.
Speaking of café lovers...,Apropos Café-Liebhaber.
The two friendly owners are motivated by their love of coffee.,Das sympathische Inhaberpaar steht hinter dem Kaffee-Genuss.
"They themselves enjoy the fragrant, hot brew in a variet of formats.",Genießt das duftende heiße Gebräu in den verschiedensten Variationen selbst.
Espresso fan,Expressofan
"Daniel Büttner is more of an espresso fan, while Mirjam van der Stelt is the cappuccino drinker.",Daniel Büttner ist eher der Expresso-Fan und Mirjam van der Stelt die Cappuccino-Trinkerin.
"""And a baguette with it - that's my thing,"" she revealed to the NRZ.","""Dazu ein Baguette - das ist mein Ding"", verrät sie der NRZ."
There have already been two events held in the brightly lit café.,Zwei Events gab's auch schon im hellen Café.
"Or perhaps more accurately, one.",Besser gesagt eins.
This is because the Hafenfest took place more outside than in - Café Déjà Vu did not benefit from it.,Denn das Hafenfest fand ja eher draußen statt - das Café Déjà Vu profitierte nicht davon.
"However, there was also the Ringelnatz evening.",Aber es gab auch den Ringelnatzabend.
"The two 33-year-olds found it ""beautiful, successful and funny"".","""Schön, erfolgreich und witzig"", fanden die beiden 33-Jährigen."
But it was not for everyone.,Aber eben nicht Jedermanns Sache.
"Perhaps this is why Daniel Büttner is not a vocal fan of evening events: ""You just cannot please everyone"".","Vielleicht ist Daniel Büttner auch deswegen kein ausgesprochener Fan von Event-Abenden: ""Man kann's ja nun mal nicht allen Recht machen""."
"And with an event, I am always only appealing to those who have expressed an interest in the special event.","Und mit einem Event spreche ich immer nur die an, die sich auch für das spezielle Event interessieren."
"For this reason, events will always be an exception to the rule for us.",Deswegen werden Events eher die Ausnahme bei uns sein.
"""We want to cause as little disruption as possible to normal business"".","""Wir möchten den ganz normalen Betrieb so wenig wie möglich stören""."
That is to say: Déjà Vu also stands for reliability.,Soll heißen: Déjà Vu steht auch für Verlässlichkeit.
"This is with regard to the quality of the products that are offered here, as well as the team and the fantastic setting on the Opschlag in Kleve.","In Bezug auf die Qualität der Produkte, die hier geboten werden, ebenso, wie auf das Team und die schöne Umgebung am Opschlag in Kleve."
The street that is fast becoming a 'restaurant mile'.,"Der Straße, die sich mehr und mehr zu einer Gastronomiemeile entwickelt."
"This is to the delight of many Kleve residents, guests from near and far and the students who are discovering the 'restaurant mile', and with it the Café Déjà Vu, for themselves.","Zur Freude vieler Klever, der Gäste aus nah und fern und der Studenten, die die Gastromeile und damit auch das Café Déjà Vu für sich entdecken."
Anke Gellert-Helpenstein,Anke Gellert-Helpenstein
A day of thanks with the MGV (Male Choral Society) in Dinker,Ein Tag des Dankeschöns beim MGV in Dinker
"This year the ""Friedrich Wilhelm Dinker"" MGV issued an invitation to its 165th anniversary celebration, which 52 guests, active singers and their wives were happy to accept.","Es war das 165. Stiftungsfest zu dem der MGV ""Friedrich Wilhelm Dinker"" in diesem Jahr eingeladen hatte und 52 Gäste, aktive Sänger und ihre Ehefrauen, waren gerne gekommen."
"In the clubhouse at the ""Witteborg"" Inn in Dinker, all those present enjoyed the friendly get-together in the name of music.","Im Vereinslokal der Gaststätte ""Witteborg"" in Dinker genossen alle das harmonische Miteinander ganz im Zeichen der Musik."
"Traditionally, the anniversary celebration is also always the fitting occasion to bestow honours.","Traditionell ist das Stiftungsfest auch immer die passende Festivität, um Ehrungen vorzunehmen."
"This time around, secretary Rolf Wagener was delighted to receive the special ""Singer of the Year"" award.","Über die besondere Auszeichnung ""Sänger des Jahres"" freute sich diesmal Schriftführer Rolf Wagener."
"""Not only have you kept countless records for us, but you have also done so much running around for us, and for this we offer our sincere thanks,"" said Choir Chairman Erich Schlotmann.","""Du hast nicht nur viel für uns aufgeschrieben, sondern hast auch so manche Runde für uns gedreht, dafür unser herzliches Dankeschön"", so der Vorsitzende des Chores Erich Schlotmann."
"The awards for participation in the performances and choir rehearsals by means of the presentation of ""activity posies"", this year went to Choir Director Dieter Schulze, with 44 attendance marks, followed by Honorary Chairman Horst Pier-Ribbert, the Chairman himself, and last year's ""Singer of the Year"" Friedrich Winkler, each having attended 42 times.","Die Auszeichnungen für die Teilnahme an den Auftritten und Chorproben mittels Aktivitätssträußchen gingen in diesem Jahr an den Chorleiter Dieter Schulze mit 44 Teilnahmen, gefolgt vom Ehrenvorsitzenden Horst Pier-Ribbert, dem Vorsitzenden selbst, und dem letztjährigen ""Sänger des Jahres"" Friedrich Winkler mit jeweils 42 Teilnahmen."
"Fifth place went to Artur Brückner, responsible for organising music copies.",Platz fünf belegte Notenwart Artur Brückner.
"The Board of Directors gave special thanks to the team managed by innkeeper, Ange Pier-Ribbert, which once again delighted those present with a top class menu, and to Gerda Pier-Ribbert for the table decorations.","Ein besonders Dankeschön richtete der Vorstand an das Team von Vereinswirtin Ange Pier-Ribbert, das einmal mehr ein Menü der Extraklasse gezaubert hatte und an Gerda Pier-Ribbert für die Tischdekoration."
"The ""Friedrich-Wilhelm"" MGV meets for its regular choir rehearsals in the clubhouse every Tuesday at 19:45.","Der MGV ""Friedrich-Wilhelm"" trifft sich zu seinen regelmäßigen Chorproben immer dienstags um 19.45 Uhr im Vereinslokal."
"""New voices that love to sing are more than welcome any time,"" said Schlotmann.","""Neue sangesfreudige Stimmen sind uns jederzeit herzlich willkommen"", so Schlotmann."
UN hails new goals to tackle poverty,UN verkündet neue Ziele bei der Armutsbekämpfung
"The United Nations is to start work immediately on a new set of goals to replace the millennium development goals, which were put place 12 years ago to tackle global poverty.","Die Vereinten Nationen beginnen ab sofort mit der Ausarbeitung einer Reihe neuer Ziele, mit denen die vor zwölf Jahren verkündeten Millenniumsentwicklungsziele zur Armutsbekämpfung ersetzt werden sollen."
"Australian diplomats played a key role in pushing for ""sustainable development goals"" to replace the MDGs, which expire in 2015, ahead of the UN sustainable development summit that began in Rio de Janeiro overnight.","Im Vorfeld des UN-Gipfels für nachhaltige Entwicklung, der am Abend in Rio de Janeiro begann, spielten australische Diplomaten eine Schlüsselrolle beim Vorstoß für „nachhaltige Entwicklungsziele“, die die 2015 auslaufenden Millenniumsziele ersetzen sollen."
"They were included in the final draft of the document, which will be endorsed by world leaders including Ms Gillard during the summit.","Sie wurden in den abschließenden Entwurf des Dokuments aufgenommen, der von weltpolitischen Führern, einschließlich Frau Gillard, beim Gipfel verabschiedet werden wird."
"UN Secretary-General Ban Ki-moon told the summit overnight that now is the time to ""rise above national interests.""","UN-Generalsekretär Ban Ki-moon erklärte am Abend auf dem Gipfel, der Zeitpunkt sei gekommen, „über die nationalen Interessen hinauszudenken“."
"""I am pleased that member states have agreed to launch and take ownership of a process to establish universal sustainable development goals - SDGs,"" he said.","„Ich freue mich, dass sich die Mitgliedsstaaten darauf verständigt haben, einen Prozess in Angriff zu nehmen, mit dem universelle, nachhaltige Entwicklungsziele vereinbart werden sollen“, sagte er."
"These SDGs will build on our advances under the millennium development goals, and they will be an integral part of the post-2015 development framework.",„Diese Ziele werden auf unseren Fortschritten aus den Millenniumsentwicklungszielen aufbauen und einen integralen Bestandteil des Rahmenwerks für die Entwicklung nach 2015 bilden.
I will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs.,"Ich werde keine Mühen scheuen, dieses mir von den Mitgliedsstaaten erteilte Mandat umzusetzen, um unsere Vision der nachhaltigen Entwicklungsziele zu verwirklichen, die auf dem Erfolg der Millenniumsziele aufbauen.“"
"Even though the SG Achim/Baden has gone four match days without victory, a positive mood is still prevailing within the top flight handball team.","Auch wenn die SG Achim/Baden seit vier Spieltagen ohne Sieg ist, herrscht beim Handball-Oberligisten weiterhin gute Stimmung."
Trainer Tomasz Malmon will not let there be any doubt of this fact.,Daran lässt Trainer Tomasz Malmon überhaupt keine Zweifel.
Everyone is still fully motivated for the task at hand.,Alle sind weiterhin voll motiviert bei der Sache.
"That said, I do hope that we finally start winning again.","Dennoch hoffe ich, dass wir endlich auch mal wieder gewinnen."
"""I no longer remember how a victory like that tastes,"" said Malmon, anticipating success for his team at VfL Fredenbeck II.","""Denn ich weiß ja schon gar nicht mehr, wie so ein Sieg schmeckt"", erwartet Malmon ein Erfolgserlebnis von seiner Mannschaft beim VfL Fredenbeck II."
"Even though the third-tier reserves from Fredenbeck are no't exactly in the best form at the moment, Malmon has issued a warning in advance","Auch wenn die Drittliga-Reserve aus Fredenbeck aktuell noch keine Bäume ausgerissen hat, hebt Malmon im Vorfeld warnend den Zeigefinger."
I trained many of the players myself in the A-Youth.,Viele Spieler habe ich selber noch in der A-Jugend trainiert.
"Consequently, they will be particularly motivated playing against their former coach.",Von daher werden sie gegen ihren Ex-Coach sicher ganz besonders motiviert sein.
"""In addition, we will have to wait and see whether reinforcements from the first team will be there,"" explained the SG coach.","""Zudem gilt es abzuwarten, ob dann noch Verstärkung aus der Ersten dabei ist"", verdeutlicht der SG-Coach."
"In any case, if they are to finally get back on the winning track, Malmon's team will have to improve on recent performances.","Um endlich wieder in die Erfolgsspur zurückzukehren, muss sich das Malmon-Team im Vergleich zu den vergangenen Auftritten auf jeden Fall steigern."
"There have been major problems, primarily in terms of covering and counter attacking.",Vor allen Dingen in der Deckungsarbeit und beim Umschaltspiel haperte es zuletzt doch gewaltig.
The team's eye for the goal must be considerably improved.,Auch die Chancenverwertung muss definitiv besser werden.
"Therefore, I hope that my players have finally managed to clear their heads during the short break.","Daher hoffe ich, dass meine Spieler während der kurzen Pause endlich den Kopf frei bekommen haben."
Mozambique security concerns mount as powerful personalities clash,Sicherheitsbedenken in Mosambik wachsen angesichts von Zusammenstößen zwischen einflussreichen Persönlichkeiten
"With a statue of Samora Machel, Mozambique's founding president, staring down on them, thousands of people gathered in central Maputo to chant peace slogans in a rare public demonstration.","Tausende Menschen versammelten sich im Zentrum Maputos unter den wachsamen Augen der Statue von Samora Machel, dem Staatsgründer und ersten Präsidenten Mosambiks, um bei einer seltenen öffentlichen Demonstration Friedensrufe anzustimmen."
"""We want peace back; we want stability,"" said Vanessa de Sousa, chief executive of an investment company.","„Wir wollen wieder Frieden, wir wollen Stabilität“, sagte Vanessa de Sousa, Geschäftsführerin eines Investment-Unternehmens."
"Fearful about the future of her country, she swapped her corporate attire for a T-shirt emblazoned with ""we demand security"" in Portuguese as she joined the crowds in the capital's Independence Square on Thursday.",Aus Angst um die Zukunft des Landes hat sie ihre Geschäftskleidung gegen ein T-Shirt mit der Aufschrift „Wir fordern Sicherheit“ auf Portugiesisch eingetauscht und sich am Donnerstag der Menge auf dem Unabhängigkeitsplatz der Hauptstadt angeschlossen.
"For two weeks, there have been almost daily reports of clashes between government forces and Renamo, some of the worst skirmishes since a peace deal more than 20 years ago.","Seit zwei Wochen gibt es beinahe täglich Berichte über Zusammenstöße zwischen Regierungskräften und Renamo, die zu den schlimmsten Gefechten seit dem Friedensabkommen vor über 20 Jahren zählen."
"Renamo was once a notorious rebel movement, initially backed by white-ruled Rhodesia and then South Africa's apartheid government as part of efforts to destabilise the country's independent government.","Renamo war einstmals eine berüchtigte Rebellenbewegung, die anfänglich vom von Weißen regierten Rhodesien und später der Apartheitsregierung Südafrikas unterstützt wurde im Bemühen, die unabhängige Regierung des Landes zu destabilisieren."
"After a 1992 peace deal, it became an opposition party.",Nach dem Friedensvertrag von 1992 wurde sie zu einer Oppositionspartei.
"Analysts believe the country is unlikely to slide back into full-blown conflict, but recent events have unnerved foreign investors and locals.","Analysten halten es für unwahrscheinlich, dass das Land wieder in einen ausgewachsenen Konflikt zurückfalle, doch haben die jüngsten Ereignisse ausländische Investoren und Einheimische beunruhigt."
"The stakes are high for the fast-growing economy as the discovery of huge offshore gas reserves and coal deposits in the northwest could bring in more than $50bn of investment over the next few next years from companies including Rio Tinto, Vale of Brazil, Eni of Italy and Anadarko of the US.","Für die schnell wachsende Wirtschaft steht viel auf dem Spiel, denn die Entdeckung riesiger Gasvorkommen vor der Küste und Kohlelager im Nordwesten könnte in den nächsten Jahren Investitionen von über 50 Milliarden US-Dollar von Firmen wie Rio Tinto, Vale aus Brasilien, Eni aus Italien und Anadarko aus den USA ins Land bringen."
"The ruling Frelimo party, the dominant political force since 1975, and Renamo blame each other for the tension.","Die regierende Frelimo-Partei, seit 1975 die dominierende Kraft, und Renamo geben sich gegenseitig die Schuld für die Spannungen."
"Renamo says the government initiated the latest clashes by launching an attack on its members in Sofala province, traditionally a Renamo stronghold, on October 17.","Renamo behauptet, die Regierung habe die jüngsten Zusammenstöße provoziert, indem sie am 17. Oktober ihre Mitglieder in der Provinz Sofala, einer traditionellen Hochburg Renamos, angegriffen hätte."
"Assaults on the former rebels then escalated as government forces attacked Renamo bases and attempted to kill Afonso Dhlakama, the group's leader, Fernando Mazanga, Renamo's spokesman, told the Financial Times.","Die Übergriffe auf die früheren Rebellen eskalierten, als Regierungstruppen Renamo-Stützpunkte attackierten und versuchten, Afonso Dhlakama zu töten, den Anführer der Gruppe, erklärte Renamos Sprecher gegenüber der Financial Times."
"The government blames Renamo for triggering the clashes, accusing it of attacking soldiers.","Die Regierung gibt Renamo die Schuld für die Zusammenstöße und beschuldigt die Organisation, Soldaten angegriffen zu haben."
President Armando Guebuza has sought to play down concerns about instability.,"Präsident Armando Guebuza hat versucht, Bedenken über eine Instabilität herunterzuspielen."
"Mr Guebuza told AFP, the French news agency, on Wednesday that Mr Dhlakama saw himself as a ""loser"" who wanted to use ""whatever remains of his forces to try to prove that he can impose on the government his own decisions.""","Gegenüber AFP, der französischen Nachrichtenagentur, sagte er am Mittwoch, dass Dhlakama sich als „Verlierer“ betrachte, der „all seine noch verbleibenden Kräfte einsetzen will, um zu beweisen, dass er der Regierung seine Entscheidungen aufzwingen kann“."
Both Frelimo and Renamo insist they want to avoid war.,"Sowohl Frelimo als auch Renamo betonen, dass sie einen Krieg vermeiden möchten."
But concerns have grown after Mr Mazanga was quoted as saying Renamo was abandoning the 1992 peace accord.,"Doch die Bedenken haben zugenommen, seit Mazanga mit den Worten zitiert wurde, Renamo gebe das Friedensabkommen von 1992 auf."
He told the FT that he meant the agreement was no longer being respected by Frelimo.,"Gegenüber der FT erklärte er, damit habe er gemeint, dass Frelimo die Vereinbarung nicht mehr respektiere."
"""Our vision is to come back to negotiations, but with seriousness,"" Mr Mazanga said.","„Unsere Vision ist es, wieder Verhandlungen aufzunehmen und zwar ernsthaft“, sagte Mazanga."
Previous talks between the parties have done little to ease tensions fuelled by a series of clashes this year.,"Frühere Gespräche zwischen den Parteien haben nur wenig zur Beilegung der Spannungen beigetragen, die durch eine Reihe von Zusammenstößen in diesem Jahr befeuert wurden."
"""It's two big men (Guebuza and Dhlakama) butting heads together,"" said Joseph Hanlon, a lecturer at the Open University and Mozambique expert.","„Wir haben hier zwei erwachsene Männer (Guebuza und Dhlakama), die die Köpfe zusammenstoßen“, meint Joseph Hanlon, Dozent an der Open University und Mosambik-Experte."
Neither of them are good negotiators and neither of them are prepared to make the kind of concessions that are necessary.,"Keiner von ihnen ist gut im Verhandeln und keiner ist bereit, die nötigen Zugeständnisse zu machen."
"Renamo, which has been pushing for electoral reforms, had already said that it would boycott municipal elections due in November.","Renamo, die auf Wahlreformen drängt, hat bereits erklärt, sie werde die Kommunalwahlen im November boykottieren."
Presidential and parliamentary polls are scheduled for next year.,Präsidentschafts- und Parlamentswahlen sind für nächstes Jahr geplant.
Some commentators have interpreted its use of force as the attempt of an ailing movement to win concessions and financial spoils from the government.,"Einige Kommentatoren haben den Einsatz von Gewalt als den Versuch einer kränkelnden Bewegung interpretiert, Zugeständnisse und finanzielle Vergünstigungen von der Regierung zu erwirken."
"Renamo's share of the vote has been declining since 1992, while a newer party, the Democratic Movement of Mozambique (MDM) which was formed by a former Renamo member, is expected to improve its showing at the elections.","Renamos Wahlerfolge schrumpfen seit 1992, während eine neuere Partei, die von einem früheren Renamo-Mitglied gegründete Movimento Democrático de Moçambique (MDM), sich vermutlich bei den Wahlen verbessern wird."
Mr Mazanga says Mr Guebuza - who is due to step down when his second term ends next year - wants to destroy the country's democracy.,"Mazanga behauptet, dass Guebuza – dessen Rücktritt ansteht, wenn seine zweite Amtszeit im nächsten Jahr endet – die Demokratie des Landes zerstören wolle."
"""He does not want multi-party democracy, he does not want transparent elections he does not want peace because he does not want to leave the presidency,"" Mr Mazanga said.","„Er will keine Mehrparteien-Demokratie, er will keine transparenten Wahlen, er will keinen Frieden, weil er das Präsidentenamt nicht aufgeben will“, so Mazanga."
"It is unclear how much capacity Renamo has, but it has carried out disruptive hit-and-run attacks on police stations and vehicles on a key north-south highway.","Es ist unklar, über welche Kapazitäten Renamo verfügt, doch sie hat Unruhe stiftende Angriffe auf Polizeistationen und Fahrzeuge auf einer wichtigen Nord-Süd-Verbindungen unternommen."
